inv_br;naziv;stopa;amgrp;amgrp_naz;datum_nabave;aktivirano;kto_nabave;kto otpisa;duguje;potrazuje;saldo;amortizacija_za_razdoblje
548;Kamere licence- Netvision;25;1009;Licence;2011-12-30;2012-01-01;00;01910;12476.86;12476.86;0.00;0.22
549;Mjerni instrument EMA;10;1008;Ostala oprema;2011-12-01;2011-12-01;03010;03901;34200.15;17385.00;16815.15;3420.00
550;Compact 2 single line;10;1008;Ostala oprema;2011-12-01;2011-12-01;03010;03901;521804.10;265250.57;256553.53;52180.44
551;Dvoglava dijagonalna pila;10;1008;Ostala oprema;2011-12-01;2011-12-01;03010;03901;128411.50;65276.10;63135.40;12841.20
552;Pila za letvice GLS;10;1008;Ostala oprema;2011-12-01;2011-12-01;03010;03901;20581.40;10462.11;10119.29;2058.12
553;Montažni stol FAZ 2800;10;1008;Ostala oprema;2011-12-01;2011-12-01;03010;03901;67805.14;34467.44;33337.70;6780.48
554;Obradni centar;10;1008;Ostala oprema;2011-12-31;2012-01-01;03010;03901;672581.50;336291.00;336290.50;67258.20
555;Pila za PVC rolete -pvc p;10;1008;Ostala oprema;2012-02-01;2012-02-01;03010;03901;28091.25;13811.31;14279.94;2809.08
556;Kalup za savijanje softli;10;1008;Ostala oprema;2012-06-01;2012-06-01;03010;03901;3643.38;1669.80;1973.58;364.32
557;Balirka vertikalna Ecopre;10;1008;Ostala oprema;2012-05-01;2012-05-01;03010;03901;22900.00;10686.48;12213.52;2289.96
558;Liniski čitač bar koda;50;1003;Elekt. Računala, oprema i mobi;2012-06-01;2012-06-01;03110;03902;5066.60;5066.60;0.00;0.00
559;ProgeCAD 2011 Profesional;25;1009;Licence;2012-07-01;2012-07-01;00;01910;5760.00;5760.00;0.00;720.00
560;PREŠA ZA USTAKLJIVANJE;10;1008;Ostala oprema;2012-08-01;2012-08-01;03010;03901;10500.41;4637.50;5862.91;1050.00
561;RENAULT master BJ257FI;25;1007;Vozila teretna i kombi vozila;2012-08-01;2012-08-01;03203;03903;128000.01;128000.01;0.00;18666.54
562;RENAULT master BJ259FI;25;1007;Vozila teretna i kombi vozila;2012-08-01;2012-08-01;03203;03903;128000.01;128000.01;0.00;18666.54
563;Hladnjak Zanusi;10;1008;Ostala oprema;2012-07-01;2012-07-01;03100;03908;3271.80;1472.58;1799.22;327.24
564;Stolica trešnja-6 stolica;20;1004;Namještaj(uredski,pogonski);2012-07-01;2012-07-01;03210;03911;1532.16;1379.16;153.00;306.48
565;Stol trešnja;20;1004;Namještaj(uredski,pogonski);2012-07-01;2012-07-01;03210;03911;1599.16;1439.10;160.06;319.80
566;Fotokopirni uređaj KONICA;10;1008;Ostala oprema;2012-11-01;2012-11-01;03100;03908;11850.00;4937.50;6912.50;1185.00
567;Nadstrešnica-2012;5;1001;Građevinski objekti visokograd;2012-11-01;2012-11-01;02310;03910;52841.14;8982.68;43858.46;2642.04
568;Auto prikolica teretna;25;1007;Vozila teretna i kombi vozila;2012-11-01;2012-11-01;03203;03903;19600.00;19600.00;0.00;4083.46
569;Alati za savijanje lukova;10;1008;Ostala oprema;2012-12-01;2012-12-01;03010;03901;649.71;265.09;384.62;64.92
570;Alati za savijanje lukova;10;1008;Ostala oprema;2012-12-01;2012-12-01;03010;03901;1027.46;419.44;608.02;102.72
571;Alati za savijanje lukova;10;1008;Ostala oprema;2012-12-01;2012-12-01;03010;03901;642.16;262.15;380.01;64.20
572;Alati za savijanje lukova;10;1008;Ostala oprema;2012-12-01;2012-12-01;03010;03901;438.18;178.85;259.33;43.80
573;Alati za savijanje lukova;10;1008;Ostala oprema;2012-12-01;2012-12-01;03010;03901;491.06;200.41;290.65;49.08
574;Alati za savijanje lukova;10;1008;Ostala oprema;2012-12-01;2012-12-01;03010;03901;695.04;283.71;411.33;69.48
575;Alati za savijanje lukova;10;1008;Ostala oprema;2012-12-01;2012-12-01;03010;03901;3173.02;1295.56;1877.46;317.28
